tconst,parentTconst,seasonNumber,episodeNumber,averageRating,numVotes
tt5207734,tt1520211,7,6,5.7,15470
tt5207738,tt1520211,7,7,7.9,12352
tt5207740,tt1520211,7,8,8.7,14462
tt5207746,tt1520211,7,9,8.0,11393
tt5207750,tt1520211,7,10,7.3,10631
tt5207754,tt1520211,7,11,7.3,10573
tt5207756,tt1520211,7,12,7.0,10864
tt5207758,tt1520211,7,13,7.6,10628
tt5207764,tt1520211,7,14,6.6,10371
tt5207766,tt1520211,7,15,7.5,9861
tt5207772,tt1520211,7,16,7.8,16189
tt6156390,tt1520211,8,1,7.0,14256
tt6198638,tt1520211,8,2,6.8,11897
tt6198656,tt1520211,8,3,6.4,11207
tt6198662,tt1520211,8,4,6.9,11087
tt6198668,tt1520211,8,5,7.3,10112
tt6207930,tt1520211,8,6,6.2,9711
tt6325296,tt1520211,8,7,6.5,9331
tt6327118,tt1520211,8,8,6.8,12011
tt6337078,tt1520211,8,9,6.9,10942
tt6337088,tt1520211,8,10,7.6,9093
tt6337096,tt1520211,8,11,6.9,8304
tt6337098,tt1520211,8,12,8.0,9580
tt6337102,tt1520211,8,13,7.3,8744
tt6337114,tt1520211,8,15,7.8,8415
tt6337116,tt1520211,8,14,7.2,8399
tt6337120,tt1520211,8,16,7.6,11265
tt7901208,tt1520211,9,1,7.3,10408
tt7958876,tt1520211,9,16,7.6,8638
tt8230772,tt1520211,9,2,7.7,9088
tt8232860,tt1520211,9,3,7.7,8771
tt8244690,tt1520211,9,4,8.0,9013
tt8250812,tt1520211,9,5,9.2,18195
tt8250818,tt1520211,9,6,7.8,9010
tt8250820,tt1520211,9,7,7.2,8292
tt8250824,tt1520211,9,8,8.8,11052
tt8250826,tt1520211,9,9,7.9,7770
tt8250828,tt1520211,9,10,7.8,7789
tt8250830,tt1520211,9,11,7.7,7654
tt8250832,tt1520211,9,12,7.7,7385
tt8250834,tt1520211,9,13,8.2,7989
tt8250838,tt1520211,9,14,7.9,8261
tt8250840,tt1520211,9,15,9.3,14741
tt9728352,tt1520211,10,1,7.4,8398
tt9729150,tt1520211,10,2,6.9,8007
tt9729152,tt1520211,10,3,7.5,7444
tt9729154,tt1520211,10,4,7.1,7168
tt9729156,tt1520211,10,6,7.7,6987
tt9729158,tt1520211,10,5,8.0,7694
tt9729160,tt1520211,10,7,7.7,7090
tt9729162,tt1520211,10,8,7.2,6870
tt9729164,tt1520211,10,9,7.4,7108
tt9729166,tt1520211,10,10,8.0,7273
tt9729172,tt1520211,10,12,9.0,10272
tt9729176,tt1520211,10,11,8.3,7560
tt9729178,tt1520211,10,13,7.7,8293
tt9729180,tt1520211,10,15,7.4,6788
tt9729182,tt1520211,10,14,7.8,6808
tt9729184,tt1520211,10,16,8.3,9211
